id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16184288,Pine Appartment,77457889,Παναγιώτης,,ΚΥΨΕΛΗ,37.99726,23.73411,Entire home/apt,110,2,0,,,126,77
16184402,studio apartment Acropolis area,56172829,Agapi,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96442,23.72447,Entire home/apt,30,2,49,2019-06-18,1.53,1,0
16184652,Taupe Appartment,77457889,Παναγιώτης,,ΠΕΔΙΟ ΑΡΕΩΣ,37.99573,23.7336,Entire home/apt,110,2,4,2019-07-20,0.14,126,75
16184849,Red Appartment,77457889,Παναγιώτης,,ΚΥΨΕΛΗ,37.9975,23.73364,Entire home/apt,110,2,3,2019-08-18,0.18,126,77
16185052,Modern nice Apartment in Athens....,89488936,Κωνσταντινα,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98963,23.7423,Entire home/apt,25,3,23,2019-08-22,0.71,1,342
16186143,"Acropolis 10 min walk,metro 5'.Central apartment.",6954320,Paulina,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96271,23.71987,Entire home/apt,34,1,227,2019-10-24,6.36,3,365
16188541,Your  elegant home at Acropolis,104363322,Sotiris,,ΖΑΠΠΕΙΟ,37.96711,23.7306,Entire home/apt,55,2,104,2019-10-28,3.00,9,278
16203358,Cozy flat in the heart of Athens,17630985,Fillis,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99526,23.72887,Entire home/apt,33,2,42,2019-09-29,1.32,1,363
16204525,PENTHOUSE CENTRAL ATHENS metro 100m,53695550,Steven,,ΚΟΛΩΝΟΣ,37.99158,23.71763,Entire home/apt,57,1,268,2019-10-27,8.19,5,339
16211620,Athens Urban Surfer's Cozy Syntagma studio,41042574,Konstantinos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97676,23.73277,Entire home/apt,42,1,248,2019-11-05,6.97,11,361
16217966,"Artistic Spot in the ""Soul of Athens""",96392912,Maria,,ΘΗΣΕΙΟ,37.97783,23.72186,Entire home/apt,31,1,137,2019-11-03,4.05,1,145
16221281,Cozy 2 bedroom apartment near Acropolis (Thissio),90398297,The Nick Team,,ΠΕΤΡΑΛΩΝΑ,37.97656,23.71442,Entire home/apt,49,1,184,2019-11-12,5.23,1,340
16221513,Cozy Apartment near Acropoli and metro station,82506732,Marina,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9609,23.73281,Entire home/apt,37,3,2,2017-02-18,0.06,1,0
16223848,"Rooftop, spacious apt in central Athens",65027411,Alexandros,,ΠΑΓΚΡΑΤΙ,37.97103,23.75028,Entire home/apt,40,3,6,2017-09-10,0.17,1,330
16224901,Spacious Comfortable 1BD Metro EntirePlace Equiped,91843960,Antonios,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99221,23.77023,Entire home/apt,21,2,124,2019-10-04,3.46,1,318
16227154,Fully renovated ground floor cozy apartment,99999971,Helen,,ΓΚΥΖΗ,37.99059,23.74762,Entire home/apt,25,1,107,2019-10-30,3.01,2,206
16237711,Studio 100m to Evangelismos Metro Station,49639515,Eleni,,ΙΛΙΣΙΑ,37.97426,23.74763,Entire home/apt,40,2,14,2019-06-28,0.40,1,137
16238362,"Loft apartment ,heart of Athens",18932845,Konstantinos,,ΓΟΥΒΑ,37.95694,23.73933,Entire home/apt,52,3,1,2017-09-11,0.04,1,344
16248531,New built comfortable studio next to Acropolis,15819421,Giorgos,,ΑΚΡΟΠΟΛΗ,37.96592,23.72239,Entire home/apt,35,3,89,2019-11-03,2.54,1,154
16253187,Apt next to the Acropolis museum,85177591,Eleni,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96793,23.72986,Entire home/apt,120,2,90,2019-10-26,2.64,1,132
